Kachelname,Erfassungsmethode,Aktualitaet,Bildflugnummer,Kamera_Sensor,Bodenpixelgroesse,Spektralkanaele,Koordinatenreferenzsystem_Lage,Koordinatenreferenzsystem_Hoehe,Bezugsflaeche,Koordinatenursprung_East,Koordinatenursprung_North,Anzahl_Spalten,Anzahl_Zeilen,Farbtiefe,Standardabweichung,Dateiformat,Hintergrund,Quelldatenqualitaet,Kompression,Komprimierung,Belaubungszustand,Bemerkungen
dop10rgbi_32_426_5769_1_nw_2022,0,2022-03-10,1377/22 Greven Ibbenbüren,UCEM3-431S91898X119229-f100_UCE-M3,10,RGBI,25832,7837,bDOM,426000,5769000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_407_5630_1_nw_2021,0,2021-06-01,1362/21,DMCIII-27514_DMCIII,10,RGBI,25832,7837,bDOM,407000,5630000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_402_5706_1_nw_2021,0,2021-03-29,1364/21 Dortmund Hamm,UrbanMapper2-12-0101_UrbanMapper2,10,RGBI,25832,7837,bDOM,402000,5706000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_422_5652_1_nw_2021,0,2021-06-01,1363/21 Siegen,UCEM3-431S61885X_UCE-M3,10,RGBI,25832,7837,bDOM,422000,5652000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_403_5779_1_nw_2022,0,2022-03-05,1377/22 Greven Ibbenbüren,UCEM3-431S91898X119229-f100_UCE-M3,10,RGBI,25832,7837,bDOM,403000,5779000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_422_5766_1_nw_2022,0,2022-03-10,1377/22 Greven Ibbenbüren,UCEM3-431S91898X119229-f100_UCE-M3,10,RGBI,25832,7837,bDOM,422000,5766000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_383_5665_1_nw_2021,0,2021-06-02,1358/21 Leverkusen Wuppertal,DMCIII-27569_DMCIII,10,RGBI,25832,7837,bDOM,383000,5665000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_409_5686_1_nw_2021,0,2021-06-14,1359/21 Iserlohn Attendorn,UCEM3-431S71678X_UCE-M3,10,RGBI,25832,7837,bDOM,409000,5686000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_413_5788_1_nw_2022,0,2022-03-05,1377/22 Greven Ibbenbüren,UCEM3-431S91898X119229-f100_UCE-M3,10,RGBI,25832,7837,bDOM,413000,5788000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_475_5746_1_nw_2022,0,2022-06-15,1388/22 Paderborn,DMCIII-27532_DMCIII,10,RGBI,25832,7837,bDOM,475000,5746000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_362_5748_1_nw_2022,0,2022-02-28,1378/22 Bocholt Coesfeld,UCEp-1-31011051-f100_UCEp,10,RGBI,25832,7837,bDOM,362000,5748000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_502_5715_1_nw_2022,0,2022-06-15,1389/22 Höxter,UCEM3-431S41091X314298-f100_UCE-M3,10,RGBI,25832,7837,bDOM,502000,5715000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_309_5670_1_nw_2021,0,2021-02-20,1354/21 Mönchengladbach- Würselen,UCEM3-431S72402X_UCE-M3,10,RGBI,25832,7837,bDOM,309000,5670000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_414_5655_1_nw_2021,0,2021-06-01,1363/21 Siegen,UCEM3-431S61885X_UCE-M3,10,RGBI,25832,7837,bDOM,414000,5655000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_397_5729_1_nw_2021,0,2021-03-20,1364/21 Dortmund Hamm,UrbanMapper2-12-0101_UrbanMapper2,10,RGBI,25832,7837,bDOM,397000,5729000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_407_5645_1_nw_2021,0,2021-06-01,1362/21,DMCIII-27514_DMCIII,10,RGBI,25832,7837,bDOM,407000,5645000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_479_5782_1_nw_2020,0,2020-03-23,1336/20 Herford Detmold,UCE-1-00518105_UCE,10,RGBI,25832,7837,bDOM,479000,5782000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_438_5623_1_nw_2021,0,2021-06-01,1363/21 Siegen,UCEM3-431S62713X_UCE-M3,10,RGBI,25832,7837,bDOM,438000,5623000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_506_5706_1_nw_2022,0,2022-05-15,1389/22 Höxter,UCEM3-431S41091X314298-f100_UCE-M3,10,RGBI,25832,7837,bDOM,506000,5706000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_393_5728_1_nw_2021,0,2021-03-20,1364/21 Dortmund Hamm,UrbanMapper2-12-0101_UrbanMapper2,10,RGBI,25832,7837,bDOM,393000,5728000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_438_5630_1_nw_2021,0,2021-06-01,1363/21 Siegen,UCEM3-431S62713X_UCE-M3,10,RGBI,25832,7837,bDOM,438000,5630000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
